company,website,quality,validation_score,category,location,rating,description,employees,hourly_rate,min_project,year_founded,scraped_at
MobileMasters,https://www.mobilemasters.com,Premium,96,Mobile Developers,"Boston, MA",4.8 (311 reviews),Leading provider of mobile developers services with over 21 years of experience. Specializing in innovative digital solutions for businesses worldwide.,606 employees,$50 - $250 / hr,$10000+,1996,2026-03-05 06:44:33
AppCraft,https://www.appcraft.com,Medium,77,Mobile Developers,"Austin, TX",3.9 (358 reviews),Leading provider of mobile developers services with over 24 years of experience. Specializing in innovative digital solutions for businesses worldwide.,661 employees,$25 - $50 / hr,$250000+,2017,2026-03-05 06:44:33
iOS Pros,https://www.iospros.com,Premium,93,Mobile Developers,"Denver, CO",4.7 (415 reviews),Leading provider of mobile developers services with over 15 years of experience. Specializing in innovative digital solutions for businesses worldwide.,108 employees,$100 - $350 / hr,$250000+,1996,2026-03-05 06:44:33
Android Wizards,https://www.androidwizards.com,Medium,70,Mobile Developers,"Chicago, IL",3.5 (399 reviews),Leading provider of mobile developers services with over 23 years of experience. Specializing in innovative digital solutions for businesses worldwide.,743 employees,$250 - $50 / hr,$50000+,2001,2026-03-05 06:44:33
MobileFirst,https://www.mobilefirst.com,High,83,Mobile Developers,"Atlanta, GA",4.2 (208 reviews),Leading provider of mobile developers services with over 21 years of experience. Specializing in innovative digital solutions for businesses worldwide.,585 employees,$200 - $100 / hr,$100000+,2004,2026-03-05 06:44:33
AppStudio,https://www.appstudio.com,Premium,96,Mobile Developers,"Dallas, TX",4.8 (83 reviews),Leading provider of mobile developers services with over 15 years of experience. Specializing in innovative digital solutions for businesses worldwide.,93 employees,$75 - $250 / hr,$1000+,2016,2026-03-05 06:44:33
MobileGenius,https://www.mobilegenius.com,Premium,97,Mobile Developers,"Boston, MA",4.8 (147 reviews),Leading provider of mobile developers services with over 5 years of experience. Specializing in innovative digital solutions for businesses worldwide.,940 employees,$25 - $200 / hr,$25000+,2012,2026-03-05 06:44:33
AppWorks,https://www.appworks.com,Premium,96,Mobile Developers,"Philadelphia, PA",4.8 (11 reviews),Leading provider of mobile developers services with over 7 years of experience. Specializing in innovative digital solutions for businesses worldwide.,212 employees,$150 - $100 / hr,$50000+,2002,2026-03-05 06:44:33
MobileLab,https://www.mobilelab.com,Premium,97,Mobile Developers,"Seattle, WA",4.8 (331 reviews),Leading provider of mobile developers services with over 22 years of experience. Specializing in innovative digital solutions for businesses worldwide.,609 employees,$25 - $350 / hr,$25000+,2010,2026-03-05 06:44:33
CodeMobile,https://www.codemobile.com,Premium,93,Mobile Developers,"Philadelphia, PA",4.7 (353 reviews),Leading provider of mobile developers services with over 9 years of experience. Specializing in innovative digital solutions for businesses worldwide.,895 employees,$150 - $300 / hr,$1000+,2003,2026-03-05 06:44:33
iOS Masters,https://www.iosmasters.com,Premium,98,Mobile Developers,"San Diego, CA",4.9 (232 reviews),Leading provider of mobile developers services with over 15 years of experience. Specializing in innovative digital solutions for businesses worldwide.,448 employees,$25 - $350 / hr,$5000+,2001,2026-03-05 06:44:33
Android Pros,https://www.androidpros.com,High,80,Mobile Developers,"Phoenix, AZ",4.0 (337 reviews),Leading provider of mobile developers services with over 16 years of experience. Specializing in innovative digital solutions for businesses worldwide.,63 employees,$25 - $250 / hr,$50000+,2019,2026-03-05 06:44:33
CrossPlatform,https://www.crossplatform.com,Medium,77,Mobile Developers,"Chicago, IL",3.9 (380 reviews),Leading provider of mobile developers services with over 25 years of experience. Specializing in innovative digital solutions for businesses worldwide.,200 employees,$25 - $250 / hr,$50000+,2015,2026-03-05 06:44:33
MobileExperts,https://www.mobileexperts.com,Medium,72,Mobile Developers,"Los Angeles, CA",3.6 (37 reviews),Leading provider of mobile developers services with over 17 years of experience. Specializing in innovative digital solutions for businesses worldwide.,50 employees,$50 - $50 / hr,$1000+,2010,2026-03-05 06:44:33
AppWizards,https://www.appwizards.com,Premium,91,Mobile Developers,"Denver, CO",4.5 (466 reviews),Leading provider of mobile developers services with over 11 years of experience. Specializing in innovative digital solutions for businesses worldwide.,796 employees,$200 - $250 / hr,$25000+,2008,2026-03-05 06:44:33
MobileMasters 16,https://www.mobilemasters16.com,Medium,77,Mobile Developers,"Dallas, TX",3.9 (450 reviews),Leading provider of mobile developers services with over 11 years of experience. Specializing in innovative digital solutions for businesses worldwide.,792 employees,$150 - $50 / hr,$10000+,2018,2026-03-05 06:44:33
AppCraft 17,https://www.appcraft17.com,Premium,98,Mobile Developers,"San Francisco, CA",4.9 (481 reviews),Leading provider of mobile developers services with over 6 years of experience. Specializing in innovative digital solutions for businesses worldwide.,426 employees,$25 - $150 / hr,$50000+,2017,2026-03-05 06:44:33
iOS Pros 18,https://www.iospros18.com,Premium,97,Mobile Developers,"Detroit, MI",4.8 (65 reviews),Leading provider of mobile developers services with over 16 years of experience. Specializing in innovative digital solutions for businesses worldwide.,762 employees,$75 - $100 / hr,$50000+,2013,2026-03-05 06:44:33
Android Wizards 19,https://www.androidwizards19.com,High,84,Mobile Developers,"San Francisco, CA",4.2 (323 reviews),Leading provider of mobile developers services with over 16 years of experience. Specializing in innovative digital solutions for businesses worldwide.,383 employees,$250 - $50 / hr,$25000+,1999,2026-03-05 06:44:33
MobileFirst 20,https://www.mobilefirst20.com,Medium,79,Mobile Developers,"Boston, MA",4.0 (481 reviews),Leading provider of mobile developers services with over 15 years of experience. Specializing in innovative digital solutions for businesses worldwide.,489 employees,$100 - $350 / hr,$25000+,1998,2026-03-05 06:44:33
AppStudio 21,https://www.appstudio21.com,Medium,71,Mobile Developers,"Detroit, MI",3.5 (362 reviews),Leading provider of mobile developers services with over 6 years of experience. Specializing in innovative digital solutions for businesses worldwide.,739 employees,$50 - $200 / hr,$1000+,1999,2026-03-05 06:44:33
MobileGenius 22,https://www.mobilegenius22.com,High,87,Mobile Developers,"San Francisco, CA",4.3 (375 reviews),Leading provider of mobile developers services with over 24 years of experience. Specializing in innovative digital solutions for businesses worldwide.,347 employees,$100 - $50 / hr,$1000+,2010,2026-03-05 06:44:33
AppWorks 23,https://www.appworks23.com,Medium,79,Mobile Developers,"Los Angeles, CA",4.0 (242 reviews),Leading provider of mobile developers services with over 15 years of experience. Specializing in innovative digital solutions for businesses worldwide.,573 employees,$75 - $200 / hr,$10000+,2016,2026-03-05 06:44:33
MobileLab 24,https://www.mobilelab24.com,High,85,Mobile Developers,"Atlanta, GA",4.2 (479 reviews),Leading provider of mobile developers services with over 25 years of experience. Specializing in innovative digital solutions for businesses worldwide.,905 employees,$50 - $50 / hr,$5000+,2016,2026-03-05 06:44:33
CodeMobile 25,https://www.codemobile25.com,High,84,Mobile Developers,"San Diego, CA",4.2 (295 reviews),Leading provider of mobile developers services with over 7 years of experience. Specializing in innovative digital solutions for businesses worldwide.,143 employees,$150 - $200 / hr,$25000+,2009,2026-03-05 06:44:33
