company,website,quality,score,category,email,phone,location,description,employees,year_founded,scraped_at
TechSolutions,https://www.techsolutions.com,Low,63,IT Services,info@techsolutions.com,+1 (642) 410-7901,"Dallas, TX",Leading provider of IT Services services with over 15 years of experience.,386 employees,2020,2026-03-05 02:11:45
TechSolutions,https://www.techsolutions.com,Low,62,IT Services,info@techsolutions.com,+1 (363) 369-3699,"Portland, OR",Leading provider of IT Services services with over 6 years of experience.,80 employees,1992,2026-03-05 02:11:45
DigitalCraft,https://www.digitalcraft.com,Low,60,IT Services,info@digitalcraft.com,+1 (842) 484-1882,"Denver, CO",Leading provider of IT Services services with over 8 years of experience.,403 employees,1999,2026-03-05 02:11:45
SocialBlast,https://www.socialblast.com,Low,66,IT Services,info@socialblast.com,+1 (716) 797-6248,"Los Angeles, CA",Leading provider of IT Services services with over 25 years of experience.,435 employees,2003,2026-03-05 02:11:45
InnovateLabs,https://www.innovatelabs.com,Medium,77,IT Services,info@innovatelabs.com,+1 (998) 652-1605,"New York, NY",Leading provider of IT Services services with over 22 years of experience.,179 employees,1994,2026-03-05 02:11:45
DesignStudio,https://www.designstudio.com,Low,65,IT Services,info@designstudio.com,+1 (315) 931-1653,"Boston, MA",Leading provider of IT Services services with over 20 years of experience.,397 employees,2005,2026-03-05 02:11:45
DigitalCraft,https://www.digitalcraft.com,Medium,74,IT Services,info@digitalcraft.com,+1 (726) 318-5041,"Dallas, TX",Leading provider of IT Services services with over 23 years of experience.,25 employees,2000,2026-03-05 02:11:45
GrowthHackers,https://www.growthhackers.com,Premium,97,IT Services,info@growthhackers.com,+1 (319) 503-2265,"Denver, CO",Leading provider of IT Services services with over 16 years of experience.,111 employees,2018,2026-03-05 02:11:45
MarketingGenius,https://www.marketinggenius.com,High,80,IT Services,info@marketinggenius.com,+1 (984) 288-5514,"Boston, MA",Leading provider of IT Services services with over 16 years of experience.,320 employees,1995,2026-03-05 02:11:45
AnalyticsPro,https://www.analyticspro.com,Premium,91,IT Services,info@analyticspro.com,+1 (603) 831-5465,"Los Angeles, CA",Leading provider of IT Services services with over 22 years of experience.,235 employees,1995,2026-03-05 02:11:45
BrandBuilders,https://www.brandbuilders.com,Premium,94,IT Services,info@brandbuilders.com,+1 (497) 472-5932,"San Francisco, CA",Leading provider of IT Services services with over 15 years of experience.,177 employees,1992,2026-03-05 02:11:45
AI Frontier,https://www.aifrontier.com,Medium,79,IT Services,info@aifrontier.com,+1 (488) 249-8580,"Dallas, TX",Leading provider of IT Services services with over 21 years of experience.,376 employees,2008,2026-03-05 02:11:45
DesignStudio,https://www.designstudio.com,Medium,77,IT Services,info@designstudio.com,+1 (472) 508-6234,"Seattle, WA",Leading provider of IT Services services with over 9 years of experience.,210 employees,2008,2026-03-05 02:11:45
DigitalCraft,https://www.digitalcraft.com,Medium,72,IT Services,info@digitalcraft.com,+1 (837) 234-4680,"Chicago, IL",Leading provider of IT Services services with over 24 years of experience.,76 employees,2004,2026-03-05 02:11:45
DesignStudio,https://www.designstudio.com,High,89,IT Services,info@designstudio.com,+1 (836) 484-6925,"Boston, MA",Leading provider of IT Services services with over 16 years of experience.,74 employees,2005,2026-03-05 02:11:45
AI Frontier,https://www.aifrontier.com,High,85,IT Services,info@aifrontier.com,+1 (350) 801-3364,"Dallas, TX",Leading provider of IT Services services with over 18 years of experience.,290 employees,2006,2026-03-05 02:11:45
PixelPerfect,https://www.pixelperfect.com,Medium,76,IT Services,info@pixelperfect.com,+1 (590) 293-7600,"San Francisco, CA",Leading provider of IT Services services with over 22 years of experience.,188 employees,2020,2026-03-05 02:11:45
AI Frontier,https://www.aifrontier.com,High,89,IT Services,info@aifrontier.com,+1 (884) 914-2394,"Miami, FL",Leading provider of IT Services services with over 5 years of experience.,392 employees,2011,2026-03-05 02:11:45
SocialBlast,https://www.socialblast.com,High,84,IT Services,info@socialblast.com,+1 (535) 430-5095,"Seattle, WA",Leading provider of IT Services services with over 17 years of experience.,462 employees,2008,2026-03-05 02:11:45
ConversionPros,https://www.conversionpros.com,Premium,100,IT Services,info@conversionpros.com,+1 (446) 264-8625,"New York, NY",Leading provider of IT Services services with over 12 years of experience.,396 employees,1990,2026-03-05 02:11:45
DigitalCraft 21,https://www.digitalcraft21.com,Premium,93,IT Services,info@digitalcraft21.com,+1 (575) 920-1086,"Denver, CO",Leading provider of IT Services services with over 15 years of experience.,449 employees,2002,2026-03-05 02:11:45
CodeMasters 22,https://www.codemasters22.com,Low,68,IT Services,info@codemasters22.com,+1 (926) 305-6736,"Miami, FL",Leading provider of IT Services services with over 14 years of experience.,131 employees,2014,2026-03-05 02:11:45
ContentKing 23,https://www.contentking23.com,Medium,74,IT Services,info@contentking23.com,+1 (234) 764-6199,"Atlanta, GA",Leading provider of IT Services services with over 9 years of experience.,341 employees,1990,2026-03-05 02:11:45
ConversionPros 24,https://www.conversionpros24.com,Low,65,IT Services,info@conversionpros24.com,+1 (848) 731-6618,"Dallas, TX",Leading provider of IT Services services with over 7 years of experience.,363 employees,2012,2026-03-05 02:11:45
CodeMasters 25,https://www.codemasters25.com,High,82,IT Services,info@codemasters25.com,+1 (589) 290-1909,"San Francisco, CA",Leading provider of IT Services services with over 6 years of experience.,309 employees,2019,2026-03-05 02:11:45
